Name,Parliament,State,Ballot order,Name display,Age,Sex,Ethnicity,Party,Votes,Result,Result desc
Rushdan Bin Rusmi,P.001 Padang Besar,Perlis,1,RUSHDAN BIN RUSMI,44,Male,Bumiputera,PERIKATAN NASIONAL (PN),24267,1,Won
Ko Chu Liang,P.001 Padang Besar,Perlis,2,KO CHU LIANG,72,Male,Chinese,PARTI WARISAN SABAH (WARISAN),244,0,Lost deposit
Zahidi Bin Zainul Abidin,P.001 Padang Besar,Perlis,3,ZAHIDI BIN ZAINUL ABIDIN,61,Male,Bumiputera,BEBAS (BEBAS),1939,0,Lost deposit
Zahida Binti Zarik Khan,P.001 Padang Besar,Perlis,4,ZAHIDA BINTI ZARIK KHAN,43,Female,Bumiputera,BARISAN NASIONAL (BN),11753,0,Lost
Mohamad Bin Saad @ Yahaya,P.001 Padang Besar,Perlis,5,KAPT (B) HJ MOHAMAD YAHAYA,58,Male,Bumiputera,PAKATAN HARAPAN (PH),7085,0,Lost
Zakri Bin Hassan,P.002 Kangar,Perlis,1,CIKGU ZAKRI,57,Male,Bumiputera,PERIKATAN NASIONAL (PN),24562,1,Won
Fathul Bari Bin Mat Jahya,P.002 Kangar,Perlis,2,DR FATHUL BARI,42,Male,Bumiputera,BARISAN NASIONAL (BN),15370,0,Lost
Rohimi Bin Shapiee,P.002 Kangar,Perlis,3,PROF. DR. ROHIMI SHAPIEE,60,Male,Bumiputera,PARTI WARISAN SABAH (WARISAN),417,0,Lost deposit
Noor Amin Bin Ahmad,P.002 Kangar,Perlis,4,AMIN AHMAD,40,Male,Bumiputera,PAKATAN HARAPAN (PH),15143,0,Lost
Nur Sulaiman Bin Zolkapli,P.002 Kangar,Perlis,5,USTAZ NUR SULAIMAN,34,Male,Bumiputera,PARTI PEJUANG TANAHAIR (PEJUANG),708,0,Lost deposit
Fathin Amelina Binti Fazlie,P.003 Arau,Perlis,1,FATHIN AMELINA,27,Female,Bumiputera,PAKATAN HARAPAN (PH),7089,0,Lost
Shahidan Bin Kassim,P.003 Arau,Perlis,2,SHAHIDAN BIN KASSIM,71,Male,Bumiputera,PERIKATAN NASIONAL (PN),31458,1,Won
Rozabil @ Rozamujib Bin Abdul Rahman,P.003 Arau,Perlis,3,ROZABIL @ TOK BEN,50,Male,Bumiputera,BARISAN NASIONAL (BN),8242,0,Lost
Abd Kadir Bin Sainudin,P.004 Langkawi,Kedah,1,DATO PADUKA ABD KADIR,43,Male,Bumiputera,BEBAS (BEBAS),89,0,Lost deposit
Mohd Suhaimi Bin Abdullah,P.004 Langkawi,Kedah,2,MOHD SUHAIMI BIN ABDULLAH,46,Male,Bumiputera,PERIKATAN NASIONAL (PN),25463,1,Won
Mahathir Bin Mohamad,P.004 Langkawi,Kedah,3,MAHATHIR BIN MOHAMAD,96,Male,Bumiputera,PARTI PEJUANG TANAHAIR (PEJUANG),4566,0,Lost deposit
Armishah Bin Siraj,P.004 Langkawi,Kedah,4,DATO' ARMISHAH SIRAJ (DAS),58,Male,Bumiputera,BARISAN NASIONAL (BN),11945,0,Lost
Zabidi Bin Yahya,P.004 Langkawi,Kedah,5,ZABIDI YAHYA,54,Male,Bumiputera,PAKATAN HARAPAN (PH),5417,0,Lost deposit
Abd Ghani Bin Ahmad,P.005 Jerlun,Kedah,1,DR. ABD GHANI AHMAD,52,Male,Bumiputera,PERIKATAN NASIONAL (PN),31685,1,Won
Mukhriz Mahathir,P.005 Jerlun,Kedah,2,DATO' SERI UTAMA MUKHRIZ MAHATHIR,58,Male,Bumiputera,PARTI PEJUANG TANAHAIR (PEJUANG),3144,0,Lost deposit
Mohamed Fadzil Bin Mohd Ali,P.005 Jerlun,Kedah,3,DR. MOHAMED FADZIL MOHD ALI,48,Male,Bumiputera,PAKATAN HARAPAN (PH),6149,0,Lost deposit
Othman Bin Aziz,P.005 Jerlun,Kedah,4,OTHMAN BIN AZIZ,63,Male,Bumiputera,BARISAN NASIONAL (BN),11229,0,Lost
Ku Abd Rahman Bin Ku Ismail,P.006 Kubang Pasu,Kedah,1,DATO' WIRA DR KU ABD RAHMAN BIN KU ISMAIL,70,Male,Bumiputera,PERIKATAN NASIONAL (PN),47584,1,Won
Mohd Aizuddin Bin Ariffin,P.006 Kubang Pasu,Kedah,2,AIZUDDIN ARIFFIN,35,Male,Bumiputera,PAKATAN HARAPAN (PH),16000,0,Lost
Amiruddin Bin Hamzah,P.006 Kubang Pasu,Kedah,3,AMIRUDDIN HAMZAH (TOK MET),60,Male,Bumiputera,PARTI PEJUANG TANAHAIR (PEJUANG),5329,0,Lost deposit
Hasmuni Bin Hassan,P.006 Kubang Pasu,Kedah,4,HASMUNI BIN HASSAN (TOK MUNI),43,Male,Bumiputera,BARISAN NASIONAL (BN),14489,0,Lost
Razali Bin Lebai Salleh,P.007 Padang Terap,Kedah,1,RAZALI BIN LEBAI SALLEH,65,Male,Bumiputera,PARTI PEJUANG TANAHAIR (PEJUANG),452,0,Lost deposit
Mahdzir Bin Khalid,P.007 Padang Terap,Kedah,2,MAHDZIR BIN KHALID,61,Male,Bumiputera,BARISAN NASIONAL (BN),17258,0,Lost
Muaz Bin Abdullah,P.007 Padang Terap,Kedah,3,MUAZ ABDULLAH,25,Male,Bumiputera,PAKATAN HARAPAN (PH),2702,0,Lost deposit
Nurul Amin Bin Hamid,P.007 Padang Terap,Kedah,4,USTAZ NURUL AMIN,39,Male,Bumiputera,PERIKATAN NASIONAL (PN),28217,1,Won
Noraini Binti Md Salleh,P.008 Pokok Sena,Kedah,1,NORAINI BINTI MD SALLEH,60,Female,Bumiputera,PARTI WARISAN SABAH (WARISAN),622,0,Lost deposit
Ahmad Bin Saad @ Yahaya,P.008 Pokok Sena,Kedah,2,DATO' AHMAD YAHAYA,47,Male,Bumiputera,PERIKATAN NASIONAL (PN),52275,1,Won
Noran Zamini Bin Jamaluddin,P.008 Pokok Sena,Kedah,3,NORAN ZAMINI BIN JAMALUDDIN,48,Male,Bumiputera,BARISAN NASIONAL (BN),14523,0,Lost
Mahfuz Bin Omar,P.008 Pokok Sena,Kedah,4,DATO' WIRA HJ MAHFUZ OMAR,53,Male,Bumiputera,PAKATAN HARAPAN (PH),20524,0,Lost
Mohamad Nuhairi Bin Rahmat,P.009 Alor Setar,Kedah,1,NUHAIRI RAHMAT,44,Male,Bumiputera,PARTI PEJUANG TANAHAIR (PEJUANG),2383,0,Lost deposit
Afnan Hamimi Bin Taib Azamudden,P.009 Alor Setar,Kedah,2,AFNAN HAMIMI BIN DATO' HAJI TAIB AZAMUDDEN,41,Male,Bumiputera,PERIKATAN NASIONAL (PN),37486,1,Won
Fadzil Bin Hanafi,P.009 Alor Setar,Kedah,3,FADZIL BIN HANAFI,65,Male,Bumiputera,PARTI WARISAN SABAH (WARISAN),366,0,Lost deposit
Ooi Tze Min,P.009 Alor Setar,Kedah,4,SIMON OOI TZE MIN,38,Male,Chinese,PAKATAN HARAPAN (PH),27555,0,Lost
Nordin Bin Yunus,P.009 Alor Setar,Kedah,5,DATO' DR NORDIN YUNUS,NULL,Male,Bumiputera,BEBAS (BEBAS),115,0,Lost deposit
Sofan Feroza Bin Md Yusup,P.009 Alor Setar,Kedah,6,SOFAN FEROZA,43,Male,Bumiputera,BEBAS (BEBAS),151,0,Lost deposit
Tan Chee Hiong,P.009 Alor Setar,Kedah,7,TAN CHEE HIONG,43,Male,Chinese,BARISAN NASIONAL (BN),8930,0,Lost deposit
Azman Bin Ismail,P.010 Kuala Kedah,Kedah,1,DR AZMAN ISMAIL,61,Male,Bumiputera,PAKATAN HARAPAN (PH),28237,0,Lost
Syed Araniri Bin Syed Ahmad,P.010 Kuala Kedah,Kedah,2,PAK TUAN AL IDRUS,48,Male,Bumiputera,PARTI WARISAN SABAH (WARISAN),256,0,Lost deposit
Ulya Aqamah Bin Husamudin,P.010 Kuala Kedah,Kedah,3,ULYA HUSAMUDIN,31,Male,Bumiputera,PARTI PEJUANG TANAHAIR (PEJUANG),1805,0,Lost deposit
Ahmad Fakhruddin Bin Fakhrurazi,P.010 Kuala Kedah,Kedah,4,DR. AHMAD FAKHRUDDIN,51,Male,Bumiputera,PERIKATAN NASIONAL (PN),56298,1,Won
Mashitah Binti Ibrahim,P.010 Kuala Kedah,Kedah,5,DATO DR MASHITAH BINTI IBRAHIM,58,Female,Bumiputera,BARISAN NASIONAL (BN),13879,0,Lost
Awang Bin Hashim,P.011 Pendang,Kedah,1,DATUK HAJI AWANG SOLAHUDIN,58,Male,Bumiputera,PERIKATAN NASIONAL (PN),49008,1,Won
Zulkifly Bin Mohamad,P.011 Pendang,Kedah,2,DATO ZUL,52,Male,Bumiputera,PAKATAN HARAPAN (PH),8058,0,Lost deposit
Abdul Rashid Bin Yob,P.011 Pendang,Kedah,3,RASHID YOB,43,Male,Bumiputera,PARTI PEJUANG TANAHAIR (PEJUANG),809,0,Lost deposit
Suraya Binti Yaacob,P.011 Pendang,Kedah,4,SURAYA BINTI YAACOB,53,Female,Bumiputera,BARISAN NASIONAL (BN),17719,0,Lost
Zulhazmi Bin Shariff,P.012 Jerai,Kedah,1,ZULHAZMI BIN SHARIFF,46,Male,Bumiputera,PAKATAN HARAPAN (PH),15590,0,Lost
Jamil Khir Bin Baharom,P.012 Jerai,Kedah,2,DATO SERI DR. JAMIL KHIR BAHAROM,61,Male,Bumiputera,BARISAN NASIONAL (BN),16269,0,Lost
Sabri Bin Azit,P.012 Jerai,Kedah,3,USTAZ SABRI BIN AZIT,56,Male,Bumiputera,PERIKATAN NASIONAL (PN),49461,1,Won
Mohd Nizam Bin Mahshar,P.012 Jerai,Kedah,4,DATUK NIZAM MAHSHAR,45,Male,Bumiputera,PARTI PEJUANG TANAHAIR (PEJUANG),973,0,Lost deposit
Maizatulakmam Binti Othman @ Ibrahim,P.013 Sik,Kedah,1,MAIZA,51,Female,Bumiputera,BARISAN NASIONAL (BN),12819,0,Lost
