State,Parliament,Votes out of box,Votes in the box,Votes not return,Votes minus,Spoilt votes,Majority,Number of voters,Number of absentee voters,The percentage of voters,The percentage of spoilt votes vs whole votes,The percentage of spoilt votes vs majority votes,The percentage of absentee votes vs majority votes
Perlis,P.001 Padang Besar,46059,45982,77,694,771,12514,60192,14133,76.5,1.7,6.2,112.9
Perlis,P.002 Kangar,56968,56860,108,660,768,9192,74859,17891,76.1,1.3,8.4,194.6
Perlis,P.003 Arau,47604,47516,88,727,815,23216,60876,13272,78.2,1.7,3.5,57.2
Kedah,P.004 Langkawi,48123,47988,135,508,643,13518,66777,18654,72.1,1.3,4.8,138.0
Kedah,P.005 Jerlun,52909,52824,85,617,702,20456,67601,14692,78.3,1.3,3.4,71.8
Kedah,P.006 Kubang Pasu,84486,84239,247,837,1084,31584,108217,23731,78.1,1.3,3.4,75.1
Kedah,P.007 Padang Terap,49341,49261,80,632,712,10959,59806,10465,82.5,1.4,6.5,95.5
Kedah,P.008 Pokok Sena,88976,88767,209,823,1032,31751,114838,25862,77.5,1.2,3.3,81.5
Kedah,P.009 Alor Setar,77969,77760,209,774,983,9931,105994,28025,73.6,1.3,9.9,282.2
Kedah,P.010 Kuala Kedah,101510,101286,224,811,1035,28061,132500,30990,76.6,1.0,3.7,110.4
Kedah,P.011 Pendang,76381,76244,137,650,787,31289,94547,18166,80.8,1.0,2.5,58.1
Kedah,P.012 Jerai,83294,83130,164,837,1001,33192,105001,21707,79.3,1.2,3.0,65.4
Kedah,P.013 Sik,51659,51577,82,416,498,21787,63126,11467,81.8,1.0,2.3,52.6
Kedah,P.014 Merbok,103779,103571,208,1027,1235,21019,132444,28665,78.4,1.2,5.9,136.4
Kedah,P.015 Sungai Petani,131447,131191,256,1187,1443,1115,168847,37400,77.8,1.1,129.4,3354.3
Kedah,P.016 Baling,110353,110205,148,1141,1289,29137,132099,21746,83.5,1.2,4.4,74.6
Kedah,P.018 Kulim-Bandar Baharu,71440,71267,349,938,1287,13061,90141,18701,79.3,1.8,9.9,143.2
Kelantan,P.019 Tumpat,106173,105892,281,1233,1514,34793,149371,43198,71.1,1.4,4.4,124.2
Kelantan,P.020 Pengkalan Chepa,78659,78391,268,630,898,38270,106982,28323,73.5,1.1,2.3,74.0
Kelantan,P.021 Kota Bharu,79028,78740,288,721,1009,22613,115450,36422,68.5,1.3,4.5,161.1
Kelantan,P.022 Pasir Mas,66145,65972,173,819,992,30717,94544,28399,70.0,1.5,3.2,92.5
Kelantan,P.023 Rantau Panjang,61406,61195,211,668,879,20636,93248,31842,65.9,1.4,4.3,154.3
Kelantan,P.024 Kubang Kerian,82502,82159,343,775,1118,40847,113640,31138,72.6,1.4,2.7,76.2
Kelantan,P.025 Bachok,91223,90956,267,1539,1806,29901,123183,31960,74.1,2.0,6.0,106.9
Kelantan,P.026 Ketereh,64060,63762,298,900,1198,23107,85281,21221,75.1,1.9,5.2,91.8
Kelantan,P.027 Tanah Merah,70667,70310,357,624,981,44485,98782,28115,71.5,1.4,2.2,63.2
Kelantan,P.028 Pasir Puteh,82228,81991,237,1013,1250,29109,113070,30842,72.7,1.5,4.3,106.0
Kelantan,P.029 Machang,66024,65847,177,733,910,10154,88825,22801,74.3,1.4,9.0,224.6
Kelantan,P.030 Jeli,43732,43588,144,635,779,12464,59798,16066,73.1,1.8,6.3,128.9
Kelantan,P.031 Kuala Krai,65684,65477,207,796,1003,25188,92335,26651,71.1,1.5,4.0,105.8
Kelantan,P.032 Gua Musang,49699,49120,579,743,1322,163,70254,20555,70.7,2.7,811.0,12610.4
Terengganu,P.033 Besut,86487,86241,246,877,1123,18666,111650,25163,77.5,1.3,6.0,134.8
Terengganu,P.034 Setiu,86029,85876,153,1044,1197,19032,107294,21265,80.2,1.4,6.3,111.7
Terengganu,P.035 Kuala Nerus,88593,88364,229,736,965,29765,105952,17359,83.6,1.1,3.2,58.3
Terengganu,P.036 Kuala Terengganu,97605,97319,286,767,1053,40907,123305,25700,79.2,1.1,2.6,62.8
Terengganu,P.037 Marang,110312,110016,296,948,1244,41729,131756,21444,83.7,1.1,3.0,51.4
Terengganu,P.038 Hulu Terengganu,72970,72801,169,793,962,15734,87917,14947,83.0,1.3,6.1,95.0
Terengganu,P.039 Dungun,92128,92005,123,736,859,34105,115559,23431,79.7,0.9,2.5,68.7
Terengganu,P.040 Kemaman,114533,114383,150,1288,1438,27179,139423,24890,82.1,1.3,5.3,91.6
Pulau Pinang,P.041 Kepala Batas,70150,70016,134,714,848,2867,83081,12931,84.4,1.2,29.6,451.0
Pulau Pinang,P.042 Tasek Gelugor,67790,67654,136,542,678,12252,80868,13078,83.8,1.0,5.5,106.7
Pulau Pinang,P.043 Bagan,69516,69392,124,738,862,49648,89447,19931,77.7,1.2,1.7,40.1
Pulau Pinang,P.044 Permatang Pauh,88254,88096,158,648,806,5272,107186,18932,82.3,0.9,15.3,359.1
Pulau Pinang,P.045 Bukit Mertajam,93695,93512,183,767,950,57685,120819,27124,77.5,1.0,1.6,47.0
Pulau Pinang,P.046 Batu Kawan,69759,69670,89,839,928,40400,88812,19053,78.5,1.3,2.3,47.2
Pulau Pinang,P.047 Nibong Tebal,80477,80329,148,1021,1169,16293,100062,19585,80.4,1.5,7.2,120.2
Pulau Pinang,P.048 Bukit Bendera,63404,63142,262,653,915,42610,92521,29117,68.5,1.4,2.1,68.3
Pulau Pinang,P.049 Tanjong,38141,38069,72,386,458,28754,52803,14662,72.2,1.2,1.6,51.0
Pulau Pinang,P.050 Jelutong,71753,71565,188,858,1046,38604,93989,22236,76.3,1.5,2.7,57.6
Pulau Pinang,P.051 Bukit Gelugor,86996,86719,277,646,923,63112,117134,30138,74.3,1.1,1.5,47.8
Pulau Pinang,P.052 Bayan Baru,91217,90878,339,1170,1509,34902,119640,28423,76.2,1.7,4.3,81.4
Pulau Pinang,P.053 Balik Pulau,64937,64774,163,863,1026,1582,80264,15327,80.9,1.6,64.9,968.8
Perak,P.054 Gerik,35360,35282,78,670,748,1377,47565,12205,74.3,2.1,54.3,886.3
Perak,P.055 Lenggong,28189,28122,67,443,510,879,36950,8761,76.3,1.8,58.0,996.7
Perak,P.056 Larut,52764,52610,154,735,889,11598,65719,12955,80.3,1.7,7.7,111.7
Perak,P.057 Parit Buntar,53596,53495,101,592,693,5395,68502,14906,78.2,1.3,12.8,276.3
Perak,P.058 Bagan Serai,63521,63428,93,895,988,18551,80293,16772,79.1,1.6,5.3,90.4
Perak,P.059 Bukit Gantang,72735,72600,135,1033,1168,12756,94253,21518,77.2,1.6,9.2,168.7
Perak,P.060 Taiping,86136,85890,246,1121,1367,25529,121566,35430,70.9,1.6,5.4,138.8
Perak,P.061 Padang Rengas,30316,30248,68,370,438,3046,38686,8370,78.4,1.4,14.4,274.8
Perak,P.062 Sungai Siput,52725,52640,85,991,1076,1846,72395,19670,72.8,2.0,58.3,1065.5
Perak,P.063 Tambun,126444,126138,306,1369,1675,3736,160558,34114,78.8,1.3,44.8,913.1
Perak,P.064 Ipoh Timor,80839,80458,381,678,1059,43888,118178,37339,68.4,1.3,2.4,85.1
Perak,P.065 Ipoh Barat,79314,79129,185,773,958,56667,114654,35340,69.2,1.2,1.7,62.4
Perak,P.066 Batu Gajah,75935,75780,155,825,980,53836,111896,35961,67.9,1.3,1.8,66.8
Perak,P.067 Kuala Kangsar,36229,36196,33,442,475,3566,46985,10756,77.1,1.3,13.3,301.6
Perak,P.068 Beruas,73483,73297,186,1124,1310,33971,108249,34766,67.9,1.8,3.9,102.3
Perak,P.069 Parit,38172,38046,126,501,627,2155,47915,9743,79.7,1.6,29.1,452.1
Perak,P.070 Kampar,60399,60238,161,852,1013,14330,89894,29495,67.2,1.7,7.1,205.8
Perak,P.071 Gopeng,105000,104730,270,1092,1362,27148,143657,38657,73.1,1.3,5.0,142.4
Perak,P.072 Tapah,45537,45447,90,966,1056,5064,61946,16409,73.5,2.3,20.9,324.0
Perak,P.073 Pasir Salak,58217,57908,309,885,1194,5003,74761,16544,77.9,2.1,23.9,330.7
Perak,P.074 Lumut,72672,72152,520,990,1510,363,92972,20300,78.2,2.1,416.0,5592.3
Perak,P.075 Bagan Datuk,42695,42604,91,748,839,348,58183,15488,73.4,2.0,241.1,4450.6
Perak,P.076 Teluk Intan,65128,64910,218,716,934,15169,87222,22094,74.7,1.4,6.2,145.7
Perak,P.077 Tanjong Malim,70928,70815,113,1144,1257,3541,93873,22945,75.6,1.8,35.5,648.0
Pahang,P.078 Cameron Highlands,34190,34115,75,850,925,4544,46020,11830,74.3,2.7,20.4,260.3
Pahang,P.079 Lipis,36343,36243,100,388,488,6118,47124,10781,77.1,1.3,8.0,176.2
Pahang,P.080 Raub,57088,56968,120,733,853,4357,75064,17976,76.1,1.5,19.6,412.6
Pahang,P.081 Jerantut,67774,67592,182,838,1020,8092,87051,19277,77.9,1.5,12.6,238.2
Pahang,P.082 Indera Mahkota,94446,94162,284,783,1067,8399,120549,26103,78.3,1.1,12.7,310.8
Pahang,P.083 Kuantan,68515,68393,122,631,753,2866,87597,19082,78.2,1.1,26.3,665.8
Pahang,P.084 Paya Besar,62768,62661,107,678,785,1317,79744,16976,78.7,1.3,59.6,1289.0
Pahang,P.085 Pekan,94618,94391,227,1350,1577,8949,119443,24825,79.2,1.7,17.6,277.4
Pahang,P.086 Maran,41665,41514,151,422,573,1821,53128,11463,78.4,1.4,31.5,629.5
Pahang,P.087 Kuala Krau,48448,48348,100,595,695,1024,60537,12089,80.0,1.4,67.9,1180.6
Pahang,P.088 Temerloh,83612,83396,216,759,975,5520,106829,23217,78.3,1.2,17.7,420.6
Pahang,P.089 Bentong,67452,67332,120,675,795,692,87058,19606,77.5,1.2,114.9,2833.2
Pahang,P.090 Bera,60507,60362,145,814,959,16695,77669,17162,77.9,1.6,5.7,102.8
